GEOID,NAME,estimate
16051,"Jefferson County, Idaho",27969
16053,"Jerome County, Idaho",23431
16055,"Kootenai County, Idaho",153605
16057,"Latah County, Idaho",39239
16059,"Lemhi County, Idaho",7798
16061,"Lewis County, Idaho",3845
16063,"Lincoln County, Idaho",5321
16065,"Madison County, Idaho",38705
16067,"Minidoka County, Idaho",20615
16069,"Nez Perce County, Idaho",40155
16071,"Oneida County, Idaho",4326
16073,"Owyhee County, Idaho",11455
16075,"Payette County, Idaho",23041
16077,"Power County, Idaho",7713
16079,"Shoshone County, Idaho",12526
16081,"Teton County, Idaho",11080
16083,"Twin Falls County, Idaho",83666
16085,"Valley County, Idaho",10401
16087,"Washington County, Idaho",10025
17001,"Adams County, Illinois",66427
17003,"Alexander County, Illinois",6532
17005,"Bond County, Illinois",16712
17007,"Boone County, Illinois",53606
17009,"Brown County, Illinois",6675
17011,"Bureau County, Illinois",33381
17013,"Calhoun County, Illinois",4858
17015,"Carroll County, Illinois",14562
17017,"Cass County, Illinois",12665
17019,"Champaign County, Illinois",209448
17021,"Christian County, Illinois",33231
17023,"Clark County, Illinois",15836
17025,"Clay County, Illinois",13338
17027,"Clinton County, Illinois",37628
17029,"Coles County, Illinois",51736
17031,"Cook County, Illinois",5223719
17033,"Crawford County, Illinois",19088
17035,"Cumberland County, Illinois",10865
17037,"DeKalb County, Illinois",104200
17039,"De Witt County, Illinois",16042
17041,"Douglas County, Illinois",19714
17043,"DuPage County, Illinois",931743
17045,"Edgar County, Illinois",17539
17047,"Edwards County, Illinois",6507
17049,"Effingham County, Illinois",34174
17051,"Fayette County, Illinois",21724
17053,"Ford County, Illinois",13398
17055,"Franklin County, Illinois",39127
17057,"Fulton County, Illinois",35418
17059,"Gallatin County, Illinois",5157
17061,"Greene County, Illinois",13218
17063,"Grundy County, Illinois",50509
17065,"Hamilton County, Illinois",8221
17067,"Hancock County, Illinois",18112
17069,"Hardin County, Illinois",4009
17071,"Henderson County, Illinois",6884
17073,"Henry County, Illinois",49464
17075,"Iroquois County, Illinois",28169
17077,"Jackson County, Illinois",58551
17079,"Jasper County, Illinois",9598
17081,"Jefferson County, Illinois",38169
17083,"Jersey County, Illinois",22069
17085,"Jo Daviess County, Illinois",21834
17087,"Johnson County, Illinois",12602
17089,"Kane County, Illinois",530839
17091,"Kankakee County, Illinois",111061
17093,"Kendall County, Illinois",124626
17095,"Knox County, Illinois",50999
17097,"Lake County, Illinois",703619
17099,"LaSalle County, Illinois",110401
17101,"Lawrence County, Illinois",16189
17103,"Lee County, Illinois",34527
17105,"Livingston County, Illinois",36324
17107,"Logan County, Illinois",29207
17109,"McDonough County, Illinois",30875
17111,"McHenry County, Illinois",307789
17113,"McLean County, Illinois",173219
17115,"Macon County, Illinois",106512
17117,"Macoupin County, Illinois",45719
17119,"Madison County, Illinois",265670
17121,"Marion County, Illinois",38084
17123,"Marshall County, Illinois",11794
17125,"Mason County, Illinois",13778
17127,"Massac County, Illinois",14430
17129,"Menard County, Illinois",12367
17131,"Mercer County, Illinois",15693
17133,"Monroe County, Illinois",33936
17135,"Montgomery County, Illinois",29009
17137,"Morgan County, Illinois",34426
17139,"Moultrie County, Illinois",14703
17141,"Ogle County, Illinois",51328
17143,"Peoria County, Illinois",184463
17145,"Perry County, Illinois",21384
17147,"Piatt County, Illinois",16427
17149,"Pike County, Illinois",15754
17151,"Pope County, Illinois",4249
17153,"Pulaski County, Illinois",5611
17155,"Putnam County, Illinois",5746
17157,"Randolph County, Illinois",32546
17159,"Richland County, Illinois",15881
17161,"Rock Island County, Illinois",145275
17163,"St. Clair County, Illinois",263463
17165,"Saline County, Illinois",24231
17167,"Sangamon County, Illinois",197661
17169,"Schuyler County, Illinois",7064
17171,"Scott County, Illinois",5047
17173,"Shelby County, Illinois",21832
17175,"Stark County, Illinois",5500
17177,"Stephenson County, Illinois",45433
17179,"Tazewell County, Illinois",133852
17181,"Union County, Illinois",17127
17183,"Vermilion County, Illinois",78407
17185,"Wabash County, Illinois",11573
17187,"Warren County, Illinois",17338
17189,"Washington County, Illinois",14155
17191,"Wayne County, Illinois",16487
17193,"White County, Illinois",14025
17195,"Whiteside County, Illinois",56396
17197,"Will County, Illinois",688697
17199,"Williamson County, Illinois",67299
17201,"Winnebago County, Illinois",286174
17203,"Woodford County, Illinois",38817
18001,"Adams County, Indiana",35195
18003,"Allen County, Indiana",370016
18005,"Bartholomew County, Indiana",81893
18007,"Benton County, Indiana",8667
18009,"Blackford County, Indiana",12129
18011,"Boone County, Indiana",64321
18013,"Brown County, Indiana",15034
18015,"Carroll County, Indiana",19994
18017,"Cass County, Indiana",38084
18019,"Clark County, Indiana",115702
18021,"Clay County, Indiana",26268
18023,"Clinton County, Indiana",32301
18025,"Crawford County, Indiana",10581
18027,"Daviess County, Indiana",32937
18029,"Dearborn County, Indiana",49501
18031,"Decatur County, Indiana",26552
18033,"DeKalb County, Indiana",42704
18035,"Delaware County, Indiana",115616
18037,"Dubois County, Indiana",42418
18039,"Elkhart County, Indiana",203604
18041,"Fayette County, Indiana",23259
18043,"Floyd County, Indiana",76809
18045,"Fountain County, Indiana",16486
18047,"Franklin County, Indiana",22842
18049,"Fulton County, Indiana",20212
18051,"Gibson County, Indiana",33596
18053,"Grant County, Indiana",66944
18055,"Greene County, Indiana",32295
18057,"Hamilton County, Indiana",316095
18059,"Hancock County, Indiana",73830
18061,"Harrison County, Indiana",39712
18063,"Hendricks County, Indiana",160940
18065,"Henry County, Indiana",48483
18067,"Howard County, Indiana",82387
18069,"Huntington County, Indiana",36378
18071,"Jackson County, Indiana",43938
18073,"Jasper County, Indiana",33449
18075,"Jay County, Indiana",20993
18077,"Jefferson County, Indiana",32237
18079,"Jennings County, Indiana",27727
18081,"Johnson County, Indiana",151564
18083,"Knox County, Indiana",37409
18085,"Kosciusko County, Indiana",78806
18087,"LaGrange County, Indiana",38942
18089,"Lake County, Indiana",486849
18091,"LaPorte County, Indiana",110552
18093,"Lawrence County, Indiana",45619
