county_name,state,population
Delta County,TX,5231
Denali Borough,AK,1826
Dent County,MO,15657
Denton County,TX,662614
Denver County,CO,600158
Des Moines County,IA,40325
Deschutes County,OR,157733
Desha County,AR,13008
Deuel County,NE,1941
Deuel County,SD,4364
Dewey County,OK,4810
Dewey County,SD,5301
Dickens County,TX,2444
Dickenson County,VA,15903
Dickey County,ND,5289
Dickinson County,IA,16667
Dickinson County,KS,19754
Dickinson County,MI,26168
Dickson County,TN,49666
Dillingham Census Area,AK,4847
Dillon County,SC,32062
Dimmit County,TX,9996
Dinwiddie County,VA,28001
District of Columbia,DC,601723
Divide County,ND,2071
Dixie County,FL,16422
Dixon County,NE,6000
Doddridge County,WV,8202
Dodge County,GA,21796
Dodge County,MN,20087
Dodge County,NE,36691
Dodge County,WI,88759
Dolores County,CO,2064
Doniphan County,KS,7945
Donley County,TX,3677
Dooly County,GA,14918
Door County,WI,27785
Dorado Municipio,PR,38165
Dorchester County,MD,32618
Dorchester County,SC,136555
Dougherty County,GA,94565
Douglas County,CO,285465
Douglas County,GA,132403
Douglas County,IL,19980
Douglas County,KS,110826
Douglas County,MN,36009
Douglas County,MO,13684
Douglas County,NE,517110
Douglas County,NV,46997
Douglas County,OR,107667
Douglas County,SD,3002
Douglas County,WA,38431
Douglas County,WI,44159
Doña Ana County,NM,209233
Drew County,AR,18509
DuPage County,IL,916924
Dubois County,IN,41889
Dubuque County,IA,93653
Duchesne County,UT,18607
Dukes County,MA,16535
Dundy County,NE,2008
Dunklin County,MO,31953
Dunn County,ND,3536
Dunn County,WI,43857
Duplin County,NC,58505
Durham County,NC,267587
Dutchess County,NY,297488
Duval County,FL,864263
Duval County,TX,11782
Dyer County,TN,38335
Eagle County,CO,52197
Early County,GA,11008
East Baton Rouge Parish,LA,440171
East Carroll Parish,LA,7759
East Feliciana Parish,LA,20267
Eastland County,TX,18583
Eaton County,MI,107759
Eau Claire County,WI,98736
Echols County,GA,4034
Ector County,TX,137130
Eddy County,ND,2385
Eddy County,NM,53829
Edgar County,IL,18576
Edgecombe County,NC,56552
Edgefield County,SC,26985
Edmonson County,KY,12161
Edmunds County,SD,4071
Edwards County,IL,6721
Edwards County,KS,3037
Edwards County,TX,2002
Effingham County,GA,52250
Effingham County,IL,34242
El Dorado County,CA,181058
El Paso County,CO,622263
El Paso County,TX,800647
Elbert County,CO,23086
Elbert County,GA,20166
Elk County,KS,2882
Elk County,PA,31946
Elkhart County,IN,197559
Elko County,NV,48818
Elliott County,KY,7852
Ellis County,KS,28452
Ellis County,OK,4151
Ellis County,TX,149610
Ellsworth County,KS,6497
Elmore County,AL,79303
Elmore County,ID,27038
Emanuel County,GA,22598
Emery County,UT,10976
Emmet County,IA,10302
Emmet County,MI,32694
Emmons County,ND,3550
Emporia city,VA,5927
Erath County,TX,37890
Erie County,NY,919040
Erie County,OH,77079
Erie County,PA,280566
Escambia County,AL,38319
Escambia County,FL,297619
Esmeralda County,NV,783
Essex County,MA,743159
Essex County,NJ,783969
Essex County,NY,39370
Essex County,VA,11151
Essex County,VT,6306
Estill County,KY,14672
Etowah County,AL,104430
Eureka County,NV,1987
Evangeline Parish,LA,33984
Evans County,GA,11000
Fairbanks North Star Borough,AK,97581
Fairfax County,VA,1081726
Fairfax city,VA,22565
Fairfield County,CT,916829
Fairfield County,OH,146156
Fairfield County,SC,23956
Fajardo Municipio,PR,36993
Fall River County,SD,7094
Fallon County,MT,2890
Falls Church city,VA,12332
Falls County,TX,17866
Fannin County,GA,23682
Fannin County,TX,33915
Faribault County,MN,14553
Faulk County,SD,2364
Faulkner County,AR,113237
Fauquier County,VA,65203
Fayette County,AL,17241
Fayette County,GA,106567
Fayette County,IA,20880
Fayette County,IL,22140
Fayette County,IN,24277
Fayette County,KY,295803
Fayette County,OH,29030
Fayette County,PA,136606
Fayette County,TN,38413
Fayette County,TX,24554
Fayette County,WV,46039
Fentress County,TN,17959
Fergus County,MT,11586
Ferry County,WA,7551
Fillmore County,MN,20866
Fillmore County,NE,5890
Finney County,KS,36776
Fisher County,TX,3974
Flagler County,FL,95696
Flathead County,MT,90928
Fleming County,KY,14348
Florence County,SC,136885
Florence County,WI,4423
Florida Municipio,PR,12680
Floyd County,GA,96317
Floyd County,IA,16303
Floyd County,IN,74578
Floyd County,KY,39451
Floyd County,TX,6446
Floyd County,VA,15279
Fluvanna County,VA,25691
Foard County,TX,1336
Fond du Lac County,WI,101633
Ford County,IL,14081
Ford County,KS,33848
Forest County,PA,7716
Forest County,WI,9304
Forrest County,MS,74934
Forsyth County,GA,175511
Forsyth County,NC,350670
Fort Bend County,TX,585375
Foster County,ND,3343
Fountain County,IN,17240
Franklin County,AL,31704
Franklin County,AR,18125
Franklin County,FL,11549
Franklin County,GA,22084
Franklin County,IA,10680
Franklin County,ID,12786
Franklin County,IL,39561
Franklin County,IN,23087
Franklin County,KS,25992
Franklin County,KY,49285
Franklin County,MA,71372
Franklin County,ME,30768
Franklin County,MO,101492
Franklin County,MS,8118
Franklin County,NC,60619
Franklin County,NE,3225
Franklin County,NY,51599
Franklin County,OH,1163414
Franklin County,PA,149618
Franklin County,TN,41052
Franklin County,TX,10605
Franklin County,VA,56159
Franklin County,VT,47746
Franklin County,WA,78163
Franklin Parish,LA,20767
Franklin city,VA,8582
Frederick County,MD,233385
Frederick County,VA,78305
Fredericksburg city,VA,24286
Freeborn County,MN,31255
Freestone County,TX,19816
Fremont County,CO,46824
Fremont County,IA,7441
Fremont County,ID,13242
Fremont County,WY,40123
Fresno County,CA,930450
Frio County,TX,17217
Frontier County,NE,2756
Fulton County,AR,12245
Fulton County,GA,920581
Fulton County,IL,37069
Fulton County,IN,20836
Fulton County,KY,6813
Fulton County,NY,55531
Fulton County,OH,42698
Fulton County,PA,14845
Furnas County,NE,4959
Gadsden County,FL,46389
Gage County,NE,22311
Gaines County,TX,17526
Galax city,VA,7042
Gallatin County,IL,5589
Gallatin County,KY,8589
Gallatin County,MT,89513
Gallia County,OH,30934
Galveston County,TX,291309
Garden County,NE,2057
Garfield County,CO,56389
Garfield County,MT,1206
Garfield County,NE,2049
Garfield County,OK,60580
Garfield County,UT,5172
Garfield County,WA,2266
Garland County,AR,96024
Garrard County,KY,16912
Garrett County,MD,30097
Garvin County,OK,27576
Garza County,TX,6461
Gasconade County,MO,15222
Gaston County,NC,206086
Gates County,NC,12197
Geary County,KS,34362
Geauga County,OH,93389
Gem County,ID,16719
Genesee County,MI,425790
Genesee County,NY,60079
Geneva County,AL,26790
Gentry County,MO,6738
George County,MS,22578
Georgetown County,SC,60158
Gibson County,IN,33503
Gibson County,TN,49683
Gila County,AZ,53597
Gilchrist County,FL,16939
Giles County,TN,29485
Giles County,VA,17286
Gillespie County,TX,24837
Gilliam County,OR,1871
Gilmer County,GA,28292
Gilmer County,WV,8693
Gilpin County,CO,5441
Glacier County,MT,13399
Glades County,FL,12884
Gladwin County,MI,25692
Glascock County,GA,3082
Glasscock County,TX,1226
Glenn County,CA,28122
Gloucester County,NJ,288288
Gloucester County,VA,36858
Glynn County,GA,79626
Gogebic County,MI,16427
Golden Valley County,MT,884
Golden Valley County,ND,1680
Goliad County,TX,7210
Gonzales County,TX,19807
Goochland County,VA,21717
Goodhue County,MN,46183
Gooding County,ID,15464
Gordon County,GA,55186
Goshen County,WY,13249
Gosper County,NE,2044
Gove County,KS,2695
Grady County,GA,25011
Grady County,OK,52431
